Full name,Short Name,Readable Name,Year,Month,Mean,Std Dev,Min,Max,Cutoff,Bins,Ticks
EURJPY_Ticks_2007.10.01_2007.10.31.csv,EURJPY,EUR/JPY,2007,October,0.0197882357448902,0.007777279796078865,0.005,0.21,0.04,8,3418967
EURUSD_Ticks_2007.10.01_2007.10.31.csv,EURUSD,EUR/USD,2007,October,0.00011700875648633896,6.517765129603143e-05,4e-05,0.0007,0.0003,21,2634961
GBPAUD_Ticks_2007.10.01_2007.10.31.csv,GBPAUD,GBP/AUD,2007,October,0.0005163479718870268,0.0001317709914133252,0.00035,0.00296,0.0009,31,575535
GBPJPY_Ticks_2007.10.01_2007.10.31.csv,GBPJPY,GBP/JPY,2007,October,0.04387950458161939,0.015081458703477796,0.005,0.335,0.07,25,3198105
GBPUSD_Ticks_2007.10.01_2007.10.31.csv,GBPUSD,GBP/USD,2007,October,0.0002191252471308054,0.00011354413539439136,4e-05,0.0014,0.0004,23,4601814
USDJPY_Ticks_2007.10.01_2007.10.31.csv,USDJPY,USD/JPY,2007,October,0.013787930129694878,0.00614889632572715,0.005,0.16,0.03,6,5002125
AUDJPY_Ticks_2007.09.01_2007.09.30.csv,AUDJPY,AUD/JPY,2007,September,0.033199893527656,0.010817606094788611,0.005,0.15,0.06,22,783302
AUDUSD_Ticks_2007.09.01_2007.09.30.csv,AUDUSD,AUD/USD,2007,September,0.00016060328790646388,7.308651501394421e-05,-0.00119,0.00068,0.00045,50,237598
EURAUD_Ticks_2007.09.01_2007.09.30.csv,EURAUD,EUR/AUD,2007,September,0.00046183464111752566,0.00018009452848648054,5e-05,0.0028,0.0009,18,1416773
EURGBP_Ticks_2007.09.01_2007.09.30.csv,EURGBP,EUR/GBP,2007,September,0.00014754505258709926,7.394731495256906e-05,4e-05,0.0012,0.00027,12,1699181
EURJPY_Ticks_2007.09.01_2007.09.30.csv,EURJPY,EUR/JPY,2007,September,0.02168832844307721,0.009484524778065996,0.005,0.24,0.04,8,2898962
EURUSD_Ticks_2007.09.01_2007.09.30.csv,EURUSD,EUR/USD,2007,September,0.00011734358065176668,6.541601098036675e-05,4e-05,0.0007,0.0003,22,2300179
GBPAUD_Ticks_2007.09.01_2007.09.30.csv,GBPAUD,GBP/AUD,2007,September,0.000516561828396445,0.0001325950107908138,0.00035,0.00296,0.0009,32,501598
GBPJPY_Ticks_2007.09.01_2007.09.30.csv,GBPJPY,GBP/JPY,2007,September,0.04805384789898657,0.01608782040585521,0.004,0.345,0.07,29,2296487
GBPUSD_Ticks_2007.09.01_2007.09.30.csv,GBPUSD,GBP/USD,2007,September,0.00019205201096814264,8.962321037432331e-05,4e-05,0.00235,0.0004,20,1995233
USDJPY_Ticks_2007.09.01_2007.09.30.csv,USDJPY,USD/JPY,2007,September,0.015204457216619546,0.006666260315935761,0.005,0.22,0.03,6,2413928
AUDJPY_Ticks_2008.04.01_2008.04.30.csv,AUDJPY,AUD/JPY,2008,April,0.03046637105584202,0.012170718092237836,0.005,0.145,0.06,22,4720621
AUDUSD_Ticks_2008.04.01_2008.04.30.csv,AUDUSD,AUD/USD,2008,April,0.0001859505414860433,5.3990421268874076e-05,-0.00019,0.00111,0.00045,50,585703
EURAUD_Ticks_2008.04.01_2008.04.30.csv,EURAUD,EUR/AUD,2008,April,0.00038122978683002726,0.00015836765371549387,5e-05,0.00255,0.0009,18,3486279
EURGBP_Ticks_2008.04.01_2008.04.30.csv,EURGBP,EUR/GBP,2008,April,0.00016940798294908627,7.197720404918256e-05,4e-05,0.0011,0.00027,11,5989591
EURJPY_Ticks_2008.04.01_2008.04.30.csv,EURJPY,EUR/JPY,2008,April,0.02149353820616316,0.010804346899003336,0.005,0.24,0.04,8,6349630
EURUSD_Ticks_2008.04.01_2008.04.30.csv,EURUSD,EUR/USD,2008,April,0.00011699241190393955,6.508428337106339e-05,4e-05,0.0007,0.0003,21,2524744
GBPAUD_Ticks_2008.04.01_2008.04.30.csv,GBPAUD,GBP/AUD,2008,April,0.0005191092136594919,0.00013292143587166036,0.00035,0.00296,0.0009,29,555599
GBPJPY_Ticks_2008.04.01_2008.04.30.csv,GBPJPY,GBP/JPY,2008,April,0.046291843961021505,0.017837579920126877,0.004,0.305,0.07,28,6149848
GBPUSD_Ticks_2008.04.01_2008.04.30.csv,GBPUSD,GBP/USD,2008,April,0.00022955011562132704,0.00010390961540881725,4e-05,0.0028,0.0004,21,6796324
USDJPY_Ticks_2008.04.01_2008.04.30.csv,USDJPY,USD/JPY,2008,April,0.013329230526713337,0.006228900529019112,0.005,0.155,0.03,6,5239909
AUDJPY_Ticks_2008.08.01_2008.08.31.csv,AUDJPY,AUD/JPY,2008,August,0.019274190104175207,0.007874913459451025,0.004,0.14,0.06,29,1521955
AUDUSD_Ticks_2008.08.01_2008.08.31.csv,AUDUSD,AUD/USD,2008,August,0.00019042280106745842,5.291332921000285e-05,-0.00013,0.00106,0.00045,50,722089
EURAUD_Ticks_2008.08.01_2008.08.31.csv,EURAUD,EUR/AUD,2008,August,0.000375545813574757,0.00015589692207899856,5e-05,0.003,0.0009,18,1950208
EURGBP_Ticks_2008.08.01_2008.08.31.csv,EURGBP,EUR/GBP,2008,August,0.0001243325157094432,4.8761775795009854e-05,4e-05,0.00155,0.00027,11,1391838
EURJPY_Ticks_2008.08.01_2008.08.31.csv,EURJPY,EUR/JPY,2008,August,0.017498972579205716,0.007033688351923411,0.005,0.3,0.04,8,2226449
EURUSD_Ticks_2008.08.01_2008.08.31.csv,EURUSD,EUR/USD,2008,August,0.00011692817712944436,6.489983247977883e-05,4e-05,0.0007,0.0003,20,2416041
GBPAUD_Ticks_2008.08.01_2008.08.31.csv,GBPAUD,GBP/AUD,2008,August,0.0005211522764417462,0.0001347213733734771,0.00035,0.00296,0.0009,29,535375
GBPJPY_Ticks_2008.08.01_2008.08.31.csv,GBPJPY,GBP/JPY,2008,August,0.03938924070575151,0.013264234473856796,0.004,0.335,0.07,31,1809022
GBPUSD_Ticks_2008.08.01_2008.08.31.csv,GBPUSD,GBP/USD,2008,August,0.00016116931010830632,7.599619491642218e-05,4e-05,0.00195,0.0004,21,1417092
USDJPY_Ticks_2008.08.01_2008.08.31.csv,USDJPY,USD/JPY,2008,August,0.009763060023234451,0.004022677864962193,0.005,0.205,0.03,6,1496054
AUDJPY_Ticks_2008.12.01_2008.12.31.csv,AUDJPY,AUD/JPY,2008,December,0.03716061210900974,0.01472838522194355,0.004,0.28,0.06,29,1263043
AUDUSD_Ticks_2008.12.01_2008.12.31.csv,AUDUSD,AUD/USD,2008,December,0.0003683009119998904,0.0001487545209041781,5e-05,0.00345,0.00045,9,729715
